------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 51142
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 74.0-75.0 sec   701 KBytes  5.74 Mbits/sec   0.625 ms   25/  513 (4.9%)
[  3] 75.0-76.0 sec   703 KBytes  5.76 Mbits/sec   0.593 ms   20/  510 (3.9%)
[  3] 76.0-77.0 sec   716 KBytes  5.87 Mbits/sec   0.631 ms   11/  510 (2.2%)
[  3] 77.0-78.0 sec   708 KBytes  5.80 Mbits/sec   0.646 ms   17/  510 (3.3%)
[  3] 78.0-79.0 sec   715 KBytes  5.86 Mbits/sec   0.594 ms   13/  511 (2.5%)
[  3] 79.0-80.0 sec   713 KBytes  5.84 Mbits/sec   0.570 ms   14/  511 (2.7%)
[  3] 80.0-81.0 sec   696 KBytes  5.70 Mbits/sec   0.623 ms   25/  510 (4.9%)
[  3] 81.0-82.0 sec   716 KBytes  5.87 Mbits/sec   0.574 ms   10/  509 (2%)
[  3]  0.0-82.3 sec  56.0 MBytes  5.70 Mbits/sec   0.696 ms 1469/41391 (3.5%)
[  3]  0.0-82.3 sec  1 datagrams received out-of-order
