------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.4.0.1 port 37899
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 80.0-81.0 sec   477 KBytes  3.90 Mbits/sec   0.607 ms    3/  335 (0.9%)
[  3] 81.0-82.0 sec   465 KBytes  3.81 Mbits/sec   0.630 ms   19/  343 (5.5%)
[  3] 82.0-83.0 sec   484 KBytes  3.96 Mbits/sec   0.631 ms    6/  343 (1.7%)
[  3] 83.0-84.0 sec   478 KBytes  3.92 Mbits/sec   0.581 ms    5/  338 (1.5%)
[  3] 84.0-85.0 sec   482 KBytes  3.95 Mbits/sec   0.594 ms    5/  341 (1.5%)
[  3] 85.0-86.0 sec   481 KBytes  3.94 Mbits/sec   0.592 ms    4/  339 (1.2%)
[  3] 86.0-87.0 sec   479 KBytes  3.93 Mbits/sec   0.588 ms    4/  338 (1.2%)
[  3] 87.0-88.0 sec   488 KBytes  4.00 Mbits/sec   0.660 ms    3/  343 (0.87%)
[  3] 88.0-89.0 sec   479 KBytes  3.93 Mbits/sec   0.597 ms    5/  339 (1.5%)
[  3] 89.0-90.0 sec   482 KBytes  3.95 Mbits/sec   0.625 ms    4/  340 (1.2%)
[  3] 90.0-91.0 sec   479 KBytes  3.93 Mbits/sec   0.775 ms    6/  340 (1.8%)
[  3] 91.0-92.0 sec   481 KBytes  3.94 Mbits/sec   0.607 ms    5/  340 (1.5%)
[  3] 92.0-93.0 sec   471 KBytes  3.86 Mbits/sec   0.748 ms   14/  342 (4.1%)
[  3] 93.0-94.0 sec   482 KBytes  3.95 Mbits/sec   0.643 ms    4/  340 (1.2%)
[  3] 94.0-95.0 sec   479 KBytes  3.93 Mbits/sec   0.576 ms    4/  338 (1.2%)
[  3] 95.0-96.0 sec   471 KBytes  3.86 Mbits/sec   0.768 ms   15/  343 (4.4%)
[  3] 96.0-97.0 sec   481 KBytes  3.94 Mbits/sec   0.758 ms    5/  340 (1.5%)
[  3] 97.0-98.0 sec   482 KBytes  3.95 Mbits/sec   0.592 ms    3/  339 (0.88%)
[  3] 98.0-99.0 sec   479 KBytes  3.93 Mbits/sec   0.622 ms    5/  339 (1.5%)
[  3] 99.0-100.0 sec   468 KBytes  3.83 Mbits/sec   0.652 ms   15/  341 (4.4%)
[  3] 100.0-101.0 sec   485 KBytes  3.97 Mbits/sec   0.806 ms    2/  340 (0.59%)
