------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.3.0.2 port 39947
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 75.0-76.0 sec   297 KBytes  2.43 Mbits/sec   0.250 ms  474/  681 (70%)
[  3] 76.0-77.0 sec   289 KBytes  2.36 Mbits/sec   0.380 ms  479/  680 (70%)
[  3] 77.0-78.0 sec   332 KBytes  2.72 Mbits/sec   0.471 ms  450/  681 (66%)
[  3] 78.0-79.0 sec   307 KBytes  2.52 Mbits/sec   0.407 ms  464/  678 (68%)
[  3] 79.0-80.0 sec   297 KBytes  2.43 Mbits/sec   0.234 ms  478/  685 (70%)
[  3] 80.0-81.0 sec   294 KBytes  2.41 Mbits/sec   0.374 ms  466/  671 (69%)
[  3] 81.0-82.0 sec   299 KBytes  2.45 Mbits/sec   0.365 ms  476/  684 (70%)
[  3] 82.0-83.0 sec   299 KBytes  2.45 Mbits/sec   0.440 ms  473/  681 (69%)
[  3] 83.0-84.0 sec   284 KBytes  2.33 Mbits/sec   0.418 ms  484/  682 (71%)
[  3] 84.0-85.0 sec   293 KBytes  2.40 Mbits/sec   0.270 ms  469/  673 (70%)
[  3] 85.0-86.0 sec   332 KBytes  2.72 Mbits/sec   0.563 ms  454/  685 (66%)
[  3] 86.0-87.0 sec   317 KBytes  2.60 Mbits/sec   0.510 ms  453/  674 (67%)
[  3] 87.0-88.0 sec   299 KBytes  2.45 Mbits/sec   0.387 ms  477/  685 (70%)
[  3] 88.0-89.0 sec   306 KBytes  2.50 Mbits/sec   0.309 ms  468/  681 (69%)
[  3] 89.0-90.0 sec   294 KBytes  2.41 Mbits/sec   0.521 ms  480/  685 (70%)
[  3] 90.0-91.0 sec   307 KBytes  2.52 Mbits/sec   0.393 ms  464/  678 (68%)
[  3] 91.0-92.0 sec   303 KBytes  2.48 Mbits/sec   0.473 ms  472/  683 (69%)
[  3] 92.0-93.0 sec   300 KBytes  2.46 Mbits/sec   0.315 ms  455/  664 (69%)
[  3] 93.0-94.0 sec   330 KBytes  2.70 Mbits/sec   0.286 ms  459/  689 (67%)
[  3] 94.0-95.0 sec   299 KBytes  2.45 Mbits/sec   0.397 ms  474/  682 (70%)
[  3] 95.0-96.0 sec   291 KBytes  2.39 Mbits/sec   0.468 ms  474/  677 (70%)
[  3] 96.0-97.0 sec   312 KBytes  2.55 Mbits/sec   0.403 ms  465/  682 (68%)
[  3] 97.0-98.0 sec   291 KBytes  2.39 Mbits/sec   0.303 ms  478/  681 (70%)
[  3] 98.0-99.0 sec   294 KBytes  2.41 Mbits/sec   0.548 ms  463/  668 (69%)
[  3] 99.0-100.0 sec   300 KBytes  2.46 Mbits/sec   0.538 ms  474/  683 (69%)
[  3] 100.0-101.0 sec   347 KBytes  2.85 Mbits/sec   0.250 ms  450/  692 (65%)
[  3] 101.0-102.0 sec   312 KBytes  2.55 Mbits/sec   0.392 ms  461/  678 (68%)
[  3] 102.0-103.0 sec   304 KBytes  2.49 Mbits/sec   0.345 ms  466/  678 (69%)
[  3] 103.0-104.0 sec   309 KBytes  2.53 Mbits/sec   0.388 ms  462/  677 (68%)
[  3] 104.0-105.0 sec   291 KBytes  2.39 Mbits/sec   0.376 ms  470/  673 (70%)
[  3] 105.0-106.0 sec   310 KBytes  2.54 Mbits/sec   0.716 ms  474/  690 (69%)
[  3] 106.0-107.0 sec   339 KBytes  2.78 Mbits/sec   0.393 ms  444/  680 (65%)
[  3] 107.0-108.0 sec   314 KBytes  2.58 Mbits/sec   0.281 ms  463/  682 (68%)
[  3] 108.0-109.0 sec   301 KBytes  2.47 Mbits/sec   0.413 ms  469/  679 (69%)
[  3] 109.0-110.0 sec   297 KBytes  2.43 Mbits/sec   0.256 ms  470/  677 (69%)
[  3] 110.0-111.0 sec   304 KBytes  2.49 Mbits/sec   0.305 ms  462/  674 (69%)
[  3] 111.0-112.0 sec   356 KBytes  2.92 Mbits/sec   0.524 ms  442/  690 (64%)
[  3] 112.0-113.0 sec   301 KBytes  2.47 Mbits/sec   0.438 ms  471/  681 (69%)
[  3] 113.0-114.0 sec   313 KBytes  2.56 Mbits/sec   0.328 ms  461/  679 (68%)
[  3] 114.0-115.0 sec   283 KBytes  2.32 Mbits/sec   0.274 ms  489/  686 (71%)
[  3] 115.0-116.0 sec   293 KBytes  2.40 Mbits/sec   0.441 ms  461/  665 (69%)
[  3] 116.0-117.0 sec   299 KBytes  2.45 Mbits/sec   0.382 ms  469/  677 (69%)
[  3] 117.0-118.0 sec   327 KBytes  2.68 Mbits/sec   0.256 ms  461/  689 (67%)
[  3]  0.0-118.4 sec  40.2 MBytes  2.85 Mbits/sec   0.512 ms 51055/79711 (64%)
